student_id,name,gender,age,city,study_hours,attendance,math_score,science_score,english_score,total_score
1001,Aarav,Male,20,Hyderabad,3.5,88,78,82,75,235
1002,Priya,Female,21,Chennai,5,92,91,89,94,274
1003,Rahul,Male,19,Bangalore,2,72,55,61,58,174
1004,Sneha,Female,20,Hyderabad,4.5,85,84,79,88,251
1005,Arjun,Male,22,Pune,1.5,65,48,52,45,145
1006,Ananya,Female,19,Mumbai,6,96,95,93,97,285
1007,,Male,21,,3,81,72,68,74,214
1008,Meera,Female,20,Chennai,0,89,86,91,84,261
1009,Kiran,Male,23,,2.5,76,64,70,62,196
1010,Divya,Female,21,Bangalore,5.5,94,88,95,90,273
1011,Rohit,Male,20,Pune,3.5,83,77,73,80,230
1012,Pooja,Female,22,Mumbai,4.5,91,90,87,92,269
1013,Sanjay,Male,19,Delhi,1,58,42,49,46,137
1014,Lakshmi,Female,,Hyderabad,5,90,85,88,91,264
1015,Naveen,Male,21,Chennai,2,70,59,63,55,177
1016,Swathi,Female,19,Bangalore,6.5,,97,96,95,288
1017,Aman,Male,22,Mumbai,3,79,71,66,69,206
1018,Neha,Female,21,Pune,4,87,83,80,85,248
1019,Varun,Male,20,Delhi,2.5,74,62,57,65,184
1020,Isha,Female,22,Chennai,5.5,93,92,90,96,278
1021,Manoj,Male,23,Hyderabad,1.5,61,51,47,54,152
1022,Kavya,Female,20,Bangalore,4.5,86,89,84,87,260
1023,Aditya,Male,,Pune,3,80,75,71,76,222
1024,Riya,Female,21,Mumbai,5,95,93,94,92,279
1025,Harish,Male,22,Delhi,2,68,56,0,53,169
1026,Sakshi,Female,20,Hyderabad,4,84,81,86,79,246
1027,Vijay,Male,21,Chennai,3.5,77,69,64,72,205
1028,Aishwarya,Female,19,Bangalore,6,97,96,92,98,286
1029,Tarun,Male,23,Pune,1.5,63,45,50,48,143
1030,Nisha,Female,22,,4.5,89,87,91,86,264
1005,Arjun,Male,22,Pune,,,,,,
